Item	Score
covid vaccines	0.7826
covid	0.7501
vaccine mandates	0.7282
covid cases	0.7176
pandemic	0.6749
covid deaths	0.6292
covid vaccine	0.6273
covid patients	0.592
people	0.5885
long covid	0.582
coronavirus	0.5789
vaccine passports	0.5517
vaccines	0.5031
vaccinated people	0.5018
cases	0.4983
covid restrictions	0.4975
novel coronavirus	0.4941
covid19	0.4917
vaccine	0.4717
u.s.	0.4646
covid-19	0.464
lockdown	0.4599
deaths	0.458
lockdowns	0.4528
death	0.4518
coronavirus cases	0.4458
masks	0.4373
covid mandates	0.43
public health	0.4287
unvaccinated people	0.4276
new cases	0.421
young people	0.4194
coronavirus pandemic	0.4166
covid relief	0.4141
omicron variant	0.411
social distancing	0.4095
years	0.4017
case	0.3959
lives	0.3924
covid vaccination	0.3877
health	0.3865
mask	0.3855
omicron cases	0.3833
life	0.3811
vaccinations	0.3775
neet exams	0.3773
vaccine mandate	0.3745
days	0.3733
virus	0.3728
home	0.3727
unvaccinated covid patients	0.3709
vaccination	0.368
coronavirus outbreak	0.3577
corona virus	0.3549
china	0.3541
government	0.345
coronavirus testing	0.3434
omicron	0.3422
patients	0.3416
mask mandates	0.3381
hospitals	0.338
months	0.3379
schools	0.3349
new coronavirus	0.3347
weeks	0.3343
mainland china	0.3336
school	0.3332
states	0.3318
times	0.3285
dr. fauci	0.3263
trump	0.3244
covid tests	0.3243
covid pandemic	0.3234
countries	0.3209
children	0.3201
coronavirus fears	0.3201
deadly coronavirus	0.317
mandates	0.3155
hospital	0.3154
risk	0.3109
covid rules	0.3101
things	0.3101
coronavirus death toll	0.3084
exam centres	0.3079
coronavirus patients	0.306
variants	0.3052
next week	0.3045
social media	0.3045
vaccine requirements	0.3035
india	0.3029
covid-19 vaccines	0.3027
covid passports	0.3009
families	0.3008
work	0.3007
mrna covid vaccines	0.2975
care	0.2968
coronavirusindia #	0.2961
first coronavirus death	0.2956
joe biden	0.2955
vaccine distribution	0.2955
state	0.2955
family	0.2934
corona	0.2927
coronavirus lockdown	0.2927
catching covid	0.2917
caught covid	0.2916
covid protocols	0.2905
non-arabs	0.2892
nursing homes	0.2891
coronavirus patient	0.289
students	0.2887
covid passes	0.2877
china #	0.2865
cdc	0.2856
covid treatments	0.2853
deadly coronavirus outbreak	0.284
workers	0.2826
coronavirus quarantine	0.2813
coronavirus evacuees	0.2804
new covid cases	0.2803
face masks	0.2801
coronavirus vaccines	0.2797
coronavirus precautions	0.278
americans	0.2779
coronavirus crisis	0.2763
place	0.2761
new york	0.275
next year	0.2748
omicron infection	0.2742
infection	0.2741
money	0.2724
data	0.2724
new variants	0.2722
businesses	0.2713
wuhan	0.2706
covid infections	0.2687
america	0.2685
tests	0.2683
boosters	0.268
testing	0.2678
doctors	0.267
new coronavirus cases	0.2668
kids	0.2662
mental health	0.2661
coronavirus bill	0.2658
donald trump	0.265
u.k.	0.265
pandemics	0.2643
biden	0.2637
health care	0.2619
covid vaccinations	0.2599
chinese coronavirus	0.2598
severe covid	0.2594
black people	0.2579
friends	0.2575
astrazeneca covid-19 vaccine	0.2575
delta variant	0.257
jobs	0.2566
coronavirus concerns	0.2564
order	0.256
coronavirus vaccine	0.256
coronavirus response	0.2559
covid list	0.2555
restrictions	0.2548
american	0.2546
control	0.2546
coronavirus funding	0.2546
science	0.2542
women	0.2542
booster shots	0.254
food	0.254
symptoms	0.2532
new variant	0.2531
millions	0.2523
viruses	0.2521
active cases	0.252
chinese	0.2511
thousands	0.2506
exam	0.2504
response	0.2502
nhs	0.2498
covid numbers	0.2497
natural immunity	0.2496
staff	0.249
new year	0.2476
corona warriors- doctors	0.2469
support	0.2467
infections	0.2458
contracting covid	0.2452
vaccine hesitancy	0.2451
second	0.2441
cleanliness workers	0.2439
coronavirus epidemic	0.2439
free coronavirus testing	0.2439
coronavirus tests	0.2433
vaccine status	0.243
wuhan city	0.2426
vaccine manufacturers	0.2423
daily	0.2412
covid vaccine mandate	0.2411
florida	0.2403
covid hospitalizations	0.2397
boris johnson	0.2387
canada	0.2376
coronavirus deaths	0.2371
hospitalized covid patients	0.2366
small businesses	0.236
vaccine uptake	0.236
covid protocol	0.2357
covid relief bill	0.2349
treatment	0.2348
power	0.2346
coronavirus impact	0.2346
climate change	0.2338
coronavirus threat	0.2337
school districts	0.2336
country	0.2334
covid vaccine mandates	0.2331
covid visualizations	0.2325
quarantine	0.2315
europe	0.2298
covid times	0.2297
president trump	0.2294
tonight	0.229
business	0.229
