Item	Score
omicron	2118.929
covid	1034.9153
omicron variant	447.028
vaccinate	374.7512
covid vaccine	295.2961
unvaccinated	290.1123
ðÿ	283.1145
vaccine mandate	216.6214
delta variant	194.9513
covid-19 vaccine	174.9396
vax	155.669
lockdown	150.3446
vaxxed	143.9807
covid death	139.019
covid case	138.1823
covid as weapon	137.013
vaccine passport	136.5095
covid19	124.014
pandemic	120.1247
fauci	117.1363
covid-19 vaccination	108.5655
omicron case	101.718
ivermectin	100.4592
vaccinated people	91.0909
covid test	90.5157
military dictatorship	90.064
vaccine	86.8222
pfizer	86.5812
jab	86.0818
covid relief	83.3469
vaccination	83.3328
natural immunity	82.8985
covid-19	82.6993
covid patient	81.285
colin powell	78.934
covid vaccination	77.4593
corona	75.396
moderna	73.5956
booster shot	70.6299
vaccine dose	70.0524
unvaxxed	67.5296
mask mandate	67.1594
new variant	67.1055
unvaccinated people	63.0906
covid passport	62.8651
booster	61.3312
ssrians	59.372
aaron rodgers	59.17
coronavirus	58.291
president biden	57.5754
wuhan	57.5325
covid restriction	54.7539
omicron wave	54.729
long covid	52.8817
board exam	51.2984
anti-vaxxer	50.4832
dose2	50.2623
dose1	50.246
wuhan lab	50.1302
desantis	50.0936
omicron spread	49.899
covid variant	49.4392
covid-19 case	48.0618
cdc	47.8612
indian variant	47.78
vaccination rate	47.736
myocarditis	47.2856
dose1 capacity	46.8867
dose2 capacity	46.8867
min age limit	46.879
case of omicron	46.5335
omicron infection	46.277
govt	46.0065
al-yamani	45.9957
new omicron	45.7535
kumbh	45.6334
covid shot	45.4355
oxygen cylinder	45.1545
ssrian	44.9695
covid booster	44.7037
big bird	44.443
downing	43.646
vaccine rollout	42.666
ssr body	42.587
jungwon	42.416
oxygen bed	41.673
omicron surge	41.447
cleanliness worker	41.2595
black fungus	40.7915
variant	40.4395
biden administration	40.0326
second dose	40.0262
covid jab	39.6729
hospitalization	39.5999
chsl	39.104
first dose	39.0286
vaxed	38.977
pin code	38.91
icu	38.3668
ni-ki	37.982
biden	37.9566
election rally	37.464
nicki	37.233
minaj	36.869
relief bill	36.8517
immensa	36.819
pre-pandemic	36.6965
ल_कर	36.331
global pandemic	36.1795
social distancing	36.1234
mask	36.0466
patient name	35.728
junta	35.6336
spo2	35.5485
ल कर	35.509
covid vaccine mandate	35.4546
sunghoon	35.443
covid protocol	35.047
ssrians help	34.9745
wuhan lab leak	34.9075
post-pandemic	34.8071
jandj	34.7655
covid relief bill	34.7589
astrazeneca	34.5065
covid-19 booster	34.4865
oxygen concentrator	34.3922
sars-cov-2	34.206
hospitalisation	34.1841
rodgers	34.1155
asharamji	33.7716
covid mandate	33.6664
lab leak	33.6103
anti-coup	33.605
vaccination status	33.5826
distancing	33.5305
coronavirus vaccine	33.3384
greensill	33.061
vaxx	32.5052
bapu	32.4978
kanwar	32.391
anti-vax	32.3473
pcr test	32.1004
pmc p	31.7325
covid pandemic	31.6297
이펙스	31.401
covid infection	31.1668
covid pass	31.0793
kanwar yatra	31.077
new available appointment	30.931
javid	30.634
omicron death	30.58
ए बह	30.579
ए_बह	30.579
full approval	30.3335
heeseung	30.26
available appointment	30.0937
hospitalize	30.0612
coronavirus variant	30.0388
joe rogan	29.8565
texas democrats	29.788
number of appt slots	29.7755
appt slot	29.7745
registration link	29.5193
new case	29.4884
bapuji	29.4593
anti-lockdown	29.4229
anti-asian	29.2762
rogan	29.2564
gain-of-function	29.2453
christmas party	29.2345
oxygen supply	28.9245
तन द	28.923
तन_द	28.923
health failure	28.886
corona virus	28.7345
concentrator	28.6573
third wave	28.5205
delta	28.2159
ambulance driver	28.0717
covid-19 death	27.8814
covid rule	27.8554
á	27.839
yatra	27.712
booster dose	27.6995
vaccine booster	27.657
retweet	27.5138
distribution-dss	27.4565
covid crisis	27.3705
inauguration	27.099
wearing mask	27.0529
psaki	26.9936
public health failure	26.979
spread of omicron	26.959
budget resolution	26.874
american rescue	26.8158
ron desantis	26.7064
proof of vaccination	26.6694
pfizer vaccine	26.5369
gain of function	26.436
new omicron variant	26.341
ppl	26.3324
cower	26.28
bakrid	26.278
breakthrough case	26.2422
mrna vaccine	26.2242
covid wave	26.1882
dewormer	26.177
powell	25.998
seuss	25.818
इन पर	25.751
इन_पर	25.751
federal solution	25.647
kumbh mela	25.6055
एक	25.559
ï1	25.479
dawei	25.473
vaccination site	25.4686
active case	25.4429
monywa	25.398
american rescue plan	25.3846
lab leak theory	25.251
freedom day	25.231
unvaxed	25.2033
nasser	25.195
boris johnson	25.1854
middle of a pandemic	25.0236
fmg	24.915
xmas party	24.903
ssrians covid volunteer	24.764
haridwar	24.763
ð	24.6617
stay home	24.624
booster jab	24.5866
nicki minaj	24.505
distribution-dss volunteer	24.486
hp inc	24.478
herd immunity	24.3303
leak theory	24.1465
covid response	24.1385
positivity rate	24.136
covid-19 variant	24.0596
covid outbreak	24.0451
rollout	24.0069
fauci email	24.005
pingdemic	23.936
sajid	23.9247
lockdown party	23.923
vaccine requirement	23.9195
covid testing	23.9161
ù	23.8158
icu bed	23.8004
covid vax	23.7319
relief plan	23.711
start of the pandemic	23.5164
gladys	23.5148
post-covid	23.4868
coronavirus case	23.3569
breakthrough infection	23.3494
horse dewormer	23.3115
sac terrorist	23.2905
case of the omicron	23.2675
ياريس_ارجوك_الطلاب_هتموت	23.266
rescue plan	23.0639
ese	23.063
antibody treatment	23.0132
vaccine for kids	22.9812
walgreen	22.8953
covid situation	22.8633
mela	22.7705
first omicron	22.732
र	22.6838
covishield	22.6572
magufuli	22.5495
mandalay	22.4843
omicron coronavirus	22.4555
n95	22.442
military regime	22.373
covid-19 vaccine mandate	22.3364
ø	22.327
pandemic bill	22.2485
austria	22.206
tsp	22.1695
ई	22.166
vaccination drive	22.1437
berejiklian	22.1409
drdo	22.0823
maskless	22.0684
breaking	22.0428
number of mutations	22.035
kejriwal	21.8248
pre-covid	21.7924
desktop manufacturing company	21.745
treasure mama	21.745
shameful news	21.734
trust worthy company	21.73
ياريس ارجوك الطلاب هتموت	21.676
sajid javid	21.667
worthy company	21.638
ramdev	21.6167
covaxin	21.6065
pandemic response	21.6007
passport	21.5903
pandemic shit	21.5305
non-covid	21.5088
loomer	21.473
à	21.4347
sant	21.3634
launglon	21.312
military terrorist	21.302
case of omicron variant	21.2865
heart inflammation	21.2015
covid surge	21.1889
hesitancy	21.1293
covid-19 patient	21.0483
vaccination appointment	20.9388
vaccine distribution	20.9316
covid bill	20.923
xiumin	20.923
manmohan	20.817
transmissible	20.8142
sagaing	20.754
covid-related	20.7475
covid recovery patient	20.742
recovery patient	20.7
vtu	20.673
covid misinformation	20.6679
junta terrorist	20.653
mrna	20.65
ahsec	20.624
virus	20.5907
kabir	20.566
aiims	20.5557
wuhan institute	20.5402
kyrie	20.5315
cavuto	20.48
noida	20.4515
mucormycosis	20.4485
capitol riot	20.438
michael gove	20.414
asian americans	20.381
oxygen support	20.378
bvlgari	20.355
anti-vaccine	20.3078
âtm	20.3006
dominant variant	20.282
multiple myeloma	20.233
oxygen plant	20.191
covid relief package	20.1732
oxygen level	20.055
vaccine hesitancy	19.9922
omicron coronavirus variant	19.9095
प	19.8844
blood component	19.8727
mask guidance	19.7873
religious exemption	19.7732
confirmed omicron	19.714
spread of the omicron	19.714
offline exam	19.6711
second wave	19.6554
getting covid	19.6545
new death	19.6449
spike protein	19.6422
new coronavirus	19.636
insein	19.626
omnicron	19.5895
quarantine	19.5479
anti-military	19.541
vaccine appointment	19.52
immunocompromised	19.5127
sunoo	19.401
regeneron	19.3747
pandemic contract	19.289
mandatory vaccination	19.2888
school mask	19.2735
epex	19.273
ðÿš	19.244
budget reconciliation	19.241
military council	19.152
monkeypox	19.145
covid duty	19.136
at-home covid test	19.108
lab origin	19.055
jayapal	19.054
vaccine for children	19.049
sanchaung	19.008
ratg13	18.987
pfizer scientist	18.981
donation camp	18.959
anti-mask	18.8853
cop26	18.8287
र प	18.823
र_प	18.823
शपथ_पत	18.823
first lockdown	18.8204
biden admin	18.7697
third dose	18.7345
gov	18.7337
ventilator	18.7076
o-positive	18.701
age relaxation	18.696
unvaccinated folk	18.692
covid-19 vaccination appointment	18.68
omicron covid	18.655
